date,leads,new_customers,revenue,ad_spend,email_open_rate,active_users
2024-01-01,120,30,12000,3000,0.25,980
2024-02-01,150,45,18000,4000,0.30,1020
2024-03-01,130,35,15500,3500,0.28,1000
2024-04-01,160,50,20000,4200,0.32,1050
2024-05-01,140,40,17000,3800,0.29,1010
2024-06-01,170,55,22000,4500,0.35,1100
2024-07-01,180,60,24000,4800,0.37,1150
2024-08-01,190,65,26000,5000,0.40,1200
2024-09-01,200,70,28000,5200,0.42,1250
2024-10-01,210,75,30000,5500,0.45,1300
2024-11-01,220,80,32000,5800,0.48,1350
2024-12-01,230,85,34000,6000,0.50,1400
2025-01-01,240,90,36000,6200,0.52,1450
2025-02-01,250,95,38000,6400,0.55,1500
2025-03-01,260,100,40000,6600,0.57,1550
2025-04-01,270,105,42000,6800,0.60,1600
2025-05-01,280,110,44000,7000,0.62,1650
2025-06-01,290,115,46000,7200,0.65,1700
2025-07-01,300,120,48000,7400,0.67,1750
2025-08-01,310,125,50000,7600,0.70,1800